Date,Price (Close),Volume,Bitcoin Price (Close),Ethereum (Google Interest),NFT (Google Interest),Obs
2-Apr-20,142.03,15322861686,6793.62,2,0,1
3-Apr-20,142.09,13184603402,6733.39,2,0,2
4-Apr-20,145.22,11946658257,6867.53,2,0,3
5-Apr-20,143.55,11280993591,6791.13,3,0,4
6-Apr-20,169.14,21636382525,7271.78,3,0,5
7-Apr-20,165.1,21659346091,7176.41,3,0,6
8-Apr-20,172.64,17063110836,7334.1,3,0,7
9-Apr-20,170.81,14901696210,7302.09,3,0,8
10-Apr-20,158.41,17980944616,6865.49,3,0,9
11-Apr-20,158.22,13555089447,6859.08,3,0,10
12-Apr-20,161.14,15123721386,6971.09,3,0,11
13-Apr-20,156.28,16465282133,6845.04,3,0,12
14-Apr-20,157.6,14723156630,6842.43,3,0,13
15-Apr-20,153.29,14171753737,6642.11,3,0,14
16-Apr-20,172.16,22910469236,7116.8,3,0,15
17-Apr-20,171.64,16714684266,7096.18,3,0,16
18-Apr-20,186.91,20160323443,7257.67,3,0,17
19-Apr-20,181.61,19146038381,7189.42,4,0,18
20-Apr-20,172.3,21266681335,6881.96,4,0,19
21-Apr-20,172.74,16458767984,6880.32,4,0,20
22-Apr-20,182.6,17994666395,7117.21,4,0,21
23-Apr-20,185.03,21275740032,7429.72,4,0,22
24-Apr-20,189.24,16788555028,7550.9,4,0,23
25-Apr-20,195.52,18260969748,7569.94,4,0,24
26-Apr-20,197.32,18335367012,7679.87,4,0,25
27-Apr-20,197.22,18670194595,7795.6,4,0,26
28-Apr-20,198.42,18217507467,7807.06,4,0,27
29-Apr-20,216.97,26397548759,8801.04,4,0,28
30-Apr-20,207.6,28089191904,8658.55,4,0,29
1-May-20,214.22,20816320834,8864.77,4,0,30
2-May-20,215.33,18260876092,8988.6,4,0,31
3-May-20,210.93,20469034664,8897.47,4,0,32
4-May-20,208.17,22602446422,8912.65,4,0,33
5-May-20,206.77,19004689099,9003.07,4,0,34
6-May-20,204.06,20343543799,9268.76,4,0,35
7-May-20,212.29,23594744655,9951.52,4,0,36
8-May-20,212.99,20445139356,9842.67,4,0,37
9-May-20,211.6,18950547549,9593.9,4,0,38
10-May-20,188.6,25211575193,8756.43,4,0,39
11-May-20,185.91,20054601647,8601.8,4,0,40
12-May-20,189.31,15899726284,8804.48,4,0,41
13-May-20,199.19,17054662289,9269.99,4,0,42
14-May-20,202.95,20150524861,9733.72,4,0,43
15-May-20,195.62,16602342092,9328.2,4,0,44
16-May-20,200.68,15379081645,9377.01,4,0,45
17-May-20,207.16,15470397303,9670.74,4,0,46
18-May-20,214.53,17411566928,9726.58,4,0,47
19-May-20,213.45,14346192779,9729.04,4,0,48
20-May-20,210.1,12730175511,9522.98,4,0,49
21-May-20,199.88,13308321229,9081.76,4,0,50
22-May-20,207.17,12041592114,9182.58,4,0,51
23-May-20,208.69,10665476768,9209.29,4,0,52
24-May-20,202.37,11833299572,8790.37,4,0,53
25-May-20,205.32,10415044124,8906.93,4,0,54
26-May-20,201.9,10159741290,8835.05,4,0,55
27-May-20,208.86,10631034756,9181.02,4,0,56
28-May-20,219.84,12212469604,9525.75,4,0,57
29-May-20,220.68,12265816557,9439.12,4,0,58
30-May-20,242.35,15027397867,9700.41,4,0,59
31-May-20,230.98,12234904813,9461.06,4,0,60
1-Jun-20,246.99,13951727936,10167.27,4,0,61
2-Jun-20,237.22,13782107567,9529.8,4,0,62
3-Jun-20,244.18,9861760817,9656.72,4,0,63
4-Jun-20,244.43,10170414304,9800.64,4,0,64
5-Jun-20,241.22,9293963914,9665.53,4,0,65
6-Jun-20,241.93,8114873845,9653.68,4,0,66
7-Jun-20,245.17,9544883157,9758.85,4,0,67
8-Jun-20,246.31,8076783299,9771.49,4,0,68
9-Jun-20,244.91,8446545788,9795.7,4,0,69
10-Jun-20,247.44,8792990206,9870.09,4,0,70
11-Jun-20,231.7,12356528860,9321.78,4,0,71
